# GENERATED by ./gradlew generateBedrockConstants. Do not edit.
#
# Bedrock's internal short name for a vanilla item, and Java's translation key for it.
# The whole key, because a block's item form is `block.minecraft.` in Java and
# everything else `item.minecraft.`, and that is not derivable from the path.
# Joined on the English display name and kept only where that name is unique in BOTH
# games; a hand-written answer in spec/upstream/vanilla-names.manual.yaml overrides.
#
# No upstream content is reproduced here - an id beside an id is a fact about two
# games, not Mojang's data. Constitution rule 10, spec/upstream/fetch.md.
deepslate_gold_ore	block.minecraft.deepslate_gold_ore
deepslate_iron_ore	block.minecraft.deepslate_iron_ore
deepslate_lapis_ore	block.minecraft.deepslate_lapis_ore
deepslate_redstone_ore	block.minecraft.deepslate_redstone_ore
deepslate_tile_slab	block.minecraft.deepslate_tile_slab
deepslate_tile_stairs	block.minecraft.deepslate_tile_stairs
deepslate_tile_wall	block.minecraft.deepslate_tile_wall
deepslate_tiles	block.minecraft.deepslate_tiles
detector_rail	block.minecraft.detector_rail
diamond	item.minecraft.diamond
diamond_axe	item.minecraft.diamond_axe
diamond_block	block.minecraft.diamond_block
diamond_boots	item.minecraft.diamond_boots
diamond_chestplate	item.minecraft.diamond_chestplate
diamond_helmet	item.minecraft.diamond_helmet
diamond_hoe	item.minecraft.diamond_hoe
diamond_leggings	item.minecraft.diamond_leggings
diamond_nautilus_armor	item.minecraft.diamond_nautilus_armor
diamond_ore	block.minecraft.diamond_ore
diamond_pickaxe	item.minecraft.diamond_pickaxe
diamond_shovel	item.minecraft.diamond_shovel
diamond_spear	item.minecraft.diamond_spear
diamond_sword	item.minecraft.diamond_sword
diorite_stairs	block.minecraft.diorite_stairs
dirt.coarse	block.minecraft.coarse_dirt
dirt_with_roots	block.minecraft.rooted_dirt
disc_fragment	item.minecraft.disc_fragment_5
dispenser	block.minecraft.dispenser
double_plant.fern	block.minecraft.large_fern
double_plant.grass	block.minecraft.tall_grass
double_plant.paeonia	block.minecraft.peony
double_plant.rose	block.minecraft.rose_bush
double_plant.sunflower	block.minecraft.sunflower
double_plant.syringa	block.minecraft.lilac
dragon_breath	item.minecraft.dragon_breath
dragon_egg	block.minecraft.dragon_egg
dried_ghast	block.minecraft.dried_ghast
dried_kelp	item.minecraft.dried_kelp
dried_kelp_block	block.minecraft.dried_kelp_block
dripstone_block	block.minecraft.dripstone_block
dropper	block.minecraft.dropper
dye.black	item.minecraft.ink_sac
dye.black_new	item.minecraft.black_dye
dye.blue	item.minecraft.lapis_lazuli
dye.blue_new	item.minecraft.blue_dye
dye.brown	item.minecraft.cocoa_beans
dye.brown_new	item.minecraft.brown_dye
dye.cyan	item.minecraft.cyan_dye
dye.gray	item.minecraft.gray_dye
dye.green	item.minecraft.green_dye
dye.lightBlue	item.minecraft.light_blue_dye
dye.lime	item.minecraft.lime_dye
dye.magenta	item.minecraft.magenta_dye
dye.orange	item.minecraft.orange_dye
dye.pink	item.minecraft.pink_dye
dye.purple	item.minecraft.purple_dye
dye.red	item.minecraft.red_dye
dye.silver	item.minecraft.light_gray_dye
dye.white	item.minecraft.bone_meal
dye.white_new	item.minecraft.white_dye
dye.yellow	item.minecraft.yellow_dye
echo_shard	item.minecraft.echo_shard
egg	item.minecraft.egg
elytra	item.minecraft.elytra
emerald	item.minecraft.emerald
emerald_block	block.minecraft.emerald_block
emerald_ore	block.minecraft.emerald_ore
emptyMap	item.minecraft.map
enchanted_book	item.minecraft.enchanted_book
enchanting_table	block.minecraft.enchanting_table
end_brick_stairs	block.minecraft.end_stone_brick_stairs
end_bricks	block.minecraft.end_stone_bricks
end_crystal	item.minecraft.end_crystal
end_gateway	block.minecraft.end_gateway
end_portal	block.minecraft.end_portal
end_portal_frame	block.minecraft.end_portal_frame
end_rod	block.minecraft.end_rod
end_stone	block.minecraft.end_stone
ender_eye	item.minecraft.ender_eye
ender_pearl	item.minecraft.ender_pearl
experience_bottle	item.minecraft.experience_bottle
explorer_pottery_sherd	item.minecraft.explorer_pottery_sherd
exposed_chiseled_copper	block.minecraft.exposed_chiseled_copper
exposed_copper	block.minecraft.exposed_copper
exposed_copper_bars	block.minecraft.exposed_copper_bars
exposed_copper_bulb	block.minecraft.exposed_copper_bulb
exposed_copper_chain	block.minecraft.exposed_copper_chain
exposed_copper_chest	block.minecraft.exposed_copper_chest
exposed_copper_door	block.minecraft.exposed_copper_door
exposed_copper_golem_statue	block.minecraft.exposed_copper_golem_statue
exposed_copper_grate	block.minecraft.exposed_copper_grate
exposed_copper_lantern	block.minecraft.exposed_copper_lantern
exposed_copper_trapdoor	block.minecraft.exposed_copper_trapdoor
exposed_cut_copper	block.minecraft.exposed_cut_copper
exposed_cut_copper_slab	block.minecraft.exposed_cut_copper_slab
exposed_cut_copper_stairs	block.minecraft.exposed_cut_copper_stairs
exposed_lightning_rod	block.minecraft.exposed_lightning_rod
farmland	block.minecraft.farmland
feather	item.minecraft.feather
fence	block.minecraft.oak_fence
fence_gate	block.minecraft.oak_fence_gate
fermented_spider_eye	item.minecraft.fermented_spider_eye
field_masoned_banner_pattern	item.minecraft.field_masoned_banner_pattern
fire	block.minecraft.fire
fire_coral_wall_fan	block.minecraft.fire_coral_wall_fan
fireball	item.minecraft.fire_charge
firefly_bush	block.minecraft.firefly_bush
fireworks	item.minecraft.firework_rocket
fireworksCharge	item.minecraft.firework_star
fish	item.minecraft.cod
fishing_rod	item.minecraft.fishing_rod
fletching_table	block.minecraft.fletching_table
flint	item.minecraft.flint
flint_and_steel	item.minecraft.flint_and_steel
flow_pottery_sherd	item.minecraft.flow_pottery_sherd
flowering_azalea	block.minecraft.flowering_azalea
frame	item.minecraft.item_frame
friend_pottery_sherd	item.minecraft.friend_pottery_sherd
frog_spawn	block.minecraft.frogspawn
frosted_ice	block.minecraft.frosted_ice
furnace	block.minecraft.furnace
ghast_tear	item.minecraft.ghast_tear
gilded_blackstone	block.minecraft.gilded_blackstone
glass	block.minecraft.glass
glass_bottle	item.minecraft.glass_bottle
glass_pane	block.minecraft.glass_pane
glow_berries	item.minecraft.glow_berries
glow_frame	item.minecraft.glow_item_frame
glow_ink_sac	item.minecraft.glow_ink_sac
